in:Index,img:Output1,img:Output2,img:Output3,out:WWR_Skylight,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Frame_BL,out:Frame_BR,out:Frame_TR,out:Frame_TL,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
0,Index_0_Parallel.png,Index_0_Back.png,Index_0_Front.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,1,0.1,0.1,-180,0.1,1.5,0.1,0.1,36.011,7,90.706,1,0.04,30.527,37.343
1,Index_1_Parallel.png,Index_1_Back.png,Index_1_Front.png,70,2.5,7.6,0.5,0.3,0,35,1.6,5.9,0.9,0,0.3,-180,1,0.8,0.1,0.2,97.046,6,90.364,1,0.056,31.447,38.061
2,Index_2_Parallel.png,Index_2_Back.png,Index_2_Front.png,70,2.5,7.6,0.5,0.1,0.2,40,1.8,6,0.8,0.2,0,-180,1.5,0.5,0.1,0.6,99,12,89.952,1,0.062,31.26,34.573
3,Index_3_Parallel.png,Index_3_Back.png,Index_3_Front.png,70,2.5,7.6,0.5,0.2,0.1,35,1.6,5.9,0.8,0.3,0,-180,1.5,0.5,0.3,0.6,275.025,13,89.506,1,0.077,33.357,34.304
4,Index_4_Parallel.png,Index_4_Back.png,Index_4_Front.png,70,2.5,7.6,0.5,0,0.3,35,1.7,5.6,0.9,0.4,0.2,-180,1.5,0.6,0.7,0.2,298.023,14,89.472,1,0.08,33.765,33.496
5,Index_5_Parallel.png,Index_5_Back.png,Index_5_Front.png,70,2.5,7.6,0.5,0.1,0.2,25,1.1,6.1,0.8,0,0.1,-180,0.5,1.4,0.4,0.1,365.897,4,89.712,1,0.074,34.054,39.479
6,Index_6_Parallel.png,Index_6_Back.png,Index_6_Front.png,65,2.5,7,0.5,0.2,0.7,40,1.8,6,0.8,0,0.2,-180,0.2,0.7,0.1,0.7,389.928,13,89.369,1,0.09,34.666,33.948
7,Index_7_Parallel.png,Index_7_Back.png,Index_7_Front.png,70,2.5,7.6,0.5,0,0.3,35,1.6,5.9,0.8,0,0.3,-180,0.8,0.1,0.2,0.8,414.214,12,89.3,1,0.096,34.672,34.455
8,Index_8_Parallel.png,Index_8_Back.png,Index_8_Front.png,70,2.5,7.6,0.5,0.3,0,35,2,4.7,1,0.9,0.6,-180,1.3,0.5,0.5,0.3,415.623,14,89.472,1,0.111,35.461,32.832
9,Index_9_Parallel.png,Index_9_Back.png,Index_9_Front.png,70,2.5,7.6,0.5,0.3,0,30,1.4,5.8,1,0,0.4,-180,1.4,0.4,0.1,0.6,420.888,10,89.575,1,0.086,34.977,36.424
10,Index_10_Parallel.png,Index_10_Back.png,Index_10_Front.png,70,2.5,7.6,0.5,0,0.3,40,2,5.4,0.8,0,0.8,-180,1.5,1.5,0.1,1.5,423.194,18,88.615,1,0.105,34.983,29.011
11,Index_11_Parallel.png,Index_11_Back.png,Index_11_Front.png,70,2.5,7.6,0.5,0.2,0.1,40,1.8,6,1,0.1,0.1,-180,1,0.7,1.3,0.1,452.249,18,88.957,1,0.102,35.695,30.053
12,Index_12_Parallel.png,Index_12_Back.png,Index_12_Front.png,70,2.5,7.6,0.5,0.3,0,40,1.8,6,0.8,0.1,0.1,-180,0.7,1,0.2,1.3,464.636,17,88.752,1,0.105,35.346,30.229
13,Index_13_Parallel.png,Index_13_Back.png,Index_13_Front.png,70,2.5,7.6,0.5,0,0.3,40,2,5.4,1,0.3,0.5,-180,1.5,1.5,0.1,1.5,481.071,46,88.58,1,0.12,36.076,27.799
