in:Index,img:Output1,img:Output2,img:Output3,img:Output4,out:WWR_Skylight,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
0,Index_0_Parallel.png,Index_0_Back.png,Index_0_Front.png,Index_0_Top.png,70,2.5,7.6,0.5,0.2,0.1,40,1.8,6,0.8,0,0.2,-180,-80,0.1,0.1,79.118,15,91.118,1,0.049,30.148,38.936
1,Index_1_Parallel.png,Index_1_Back.png,Index_1_Front.png,Index_1_Top.png,70,2.5,7.6,0.5,0.1,0.2,40,1.8,6,0.8,0.1,0.1,-180,-70,0.6,0.7,87.548,15,90.947,1,0.043,30.1,38.779
2,Index_2_Parallel.png,Index_2_Back.png,Index_2_Front.png,Index_2_Top.png,70,2.5,7.6,0.5,0.1,0.2,40,1.8,6,0.8,0.2,0,-180,-60,0.5,0.7,93.938,15,90.947,1,0.046,30.171,38.765
3,Index_3_Parallel.png,Index_3_Back.png,Index_3_Front.png,Index_3_Top.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.8,0.1,0.1,-180,-40,0.4,0.8,140.335,17,90.706,1,0.052,30.445,38.016
4,Index_4_Parallel.png,Index_4_Back.png,Index_4_Front.png,Index_4_Top.png,70,2.5,7.6,0.5,0.1,0.2,40,1.8,6,0.9,0,0.2,-180,-60,0.8,0.4,143.604,17,90.878,1,0.046,30.672,38.123
5,Index_5_Parallel.png,Index_5_Back.png,Index_5_Front.png,Index_5_Top.png,70,2.6,7.3,0.4,0.6,0,40,1.8,6,0.8,0,0.2,-180,-80,2,0.1,162.606,15,90.947,1,0.059,30.935,38.672
6,Index_6_Parallel.png,Index_6_Back.png,Index_6_Front.png,Index_6_Top.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,1,0.1,0.1,-180,-70,1.1,0.1,181.863,16,90.912,1,0.052,31.136,38.093
7,Index_7_Parallel.png,Index_7_Back.png,Index_7_Front.png,Index_7_Top.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,1,0.2,0,-180,-80,1.1,0.4,185.086,16,90.844,1,0.056,31.043,38.33
8,Index_8_Parallel.png,Index_8_Back.png,Index_8_Front.png,Index_8_Top.png,70,2.6,7.3,0.4,0,0.6,40,1.8,6,1,0,0.2,-180,80,0.1,0.1,192.56,17,91.015,1,0.049,31.468,38.045
9,Index_9_Parallel.png,Index_9_Back.png,Index_9_Front.png,Index_9_Top.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.9,0,0.2,-180,-50,1,0.7,212.424,18,90.501,1,0.052,30.926,37.046
10,Index_10_Parallel.png,Index_10_Back.png,Index_10_Front.png,Index_10_Top.png,70,2.6,7.3,0.4,0.1,0.5,40,1.8,6,1,0,0.2,-180,80,0.5,0.1,243.761,16,90.775,1,0.052,31.554,38.045
11,Index_11_Parallel.png,Index_11_Back.png,Index_11_Front.png,Index_11_Top.png,70,2.6,7.3,0.4,0.3,0.3,40,1.8,6,0.8,0,0.2,-180,-50,1.5,0.7,266.136,18,90.295,1,0.049,31.158,36.648
12,Index_12_Parallel.png,Index_12_Back.png,Index_12_Front.png,Index_12_Top.png,70,2.6,7.3,0.4,0.5,0.1,40,1.8,6,0.9,0.2,0,-180,10,0.4,0.1,273.328,17,90.604,1,0.052,31.579,37.479
13,Index_13_Parallel.png,Index_13_Back.png,Index_13_Front.png,Index_13_Top.png,65,2.3,7.6,0.7,0.2,0.1,40,1.8,6,0.8,0,0.2,-180,-80,1.1,0.4,284.705,16,90.466,1,0.059,31.413,38.089
14,Index_14_Parallel.png,Index_14_Back.png,Index_14_Front.png,Index_14_Top.png,70,2.5,7.6,0.5,0,0.3,35,1.6,5.9,0.8,0.1,0.2,-180,60,0.2,0.6,291.073,11,90.638,1,0.062,31.584,40.272
15,Index_15_Parallel.png,Index_15_Back.png,Index_15_Front.png,Index_15_Top.png,70,2.5,7.6,0.5,0.2,0.1,40,1.8,6,0.9,0,0.2,-180,-10,0.6,0.3,299.494,17,90.295,1,0.059,31.387,36.778
16,Index_16_Parallel.png,Index_16_Back.png,Index_16_Front.png,Index_16_Top.png,65,2.3,7.6,0.7,0,0.3,40,1.8,6,0.9,0.1,0.1,-180,-80,1.1,0,300.123,17,90.569,1,0.059,31.748,37.436
17,Index_17_Parallel.png,Index_17_Back.png,Index_17_Front.png,Index_17_Top.png,70,2.5,7.6,0.5,0.2,0.1,35,1.6,5.9,1,0.3,0,-180,-10,0.1,0.3,311.53,12,90.878,1,0.062,32.348,39.371
18,Index_18_Parallel.png,Index_18_Back.png,Index_18_Front.png,Index_18_Top.png,70,2.5,7.6,0.5,0.1,0.2,40,2,5.4,0.9,0.6,0.2,-180,60,0.6,0,336.444,17,90.364,1,0.062,31.737,37.11
19,Index_19_Parallel.png,Index_19_Back.png,Index_19_Front.png,Index_19_Top.png,65,2.3,7.6,0.7,0,0.3,40,1.8,6,1,0,0.2,-180,-50,0.5,0.2,396.304,17,90.466,1,0.059,32.397,37.231
20,Index_20_Parallel.png,Index_20_Back.png,Index_20_Front.png,Index_20_Top.png,70,2.6,7.3,0.4,0.5,0.1,40,1.8,6,1,0,0.2,-180,-40,1.3,0,404.578,17,90.364,1,0.052,32.364,36.416
21,Index_21_Parallel.png,Index_21_Back.png,Index_21_Front.png,Index_21_Top.png,70,2.5,7.6,0.5,0.1,0.2,30,1.4,5.8,0.9,0.1,0.3,-180,-70,0.5,0,456.955,9,90.672,1,0.068,32.939,41.57
22,Index_22_Parallel.png,Index_22_Back.png,Index_22_Front.png,Index_22_Top.png,70,2.5,7.6,0.5,0,0.3,30,1.4,5.8,0.9,0.1,0.3,-180,-70,1.1,0.4,488.255,10,90.535,1,0.059,32.898,41.386
23,Index_23_Parallel.png,Index_23_Back.png,Index_23_Front.png,Index_23_Top.png,65,2.3,7.6,0.7,0.1,0.2,40,1.8,6,0.9,0.1,0.1,-180,-20,0.8,0,502.277,18,89.918,1,0.065,32.336,35.935
24,Index_24_Parallel.png,Index_24_Back.png,Index_24_Front.png,Index_24_Top.png,65,2.3,7.6,0.7,0.3,0,35,1.6,5.9,0.8,0,0.3,-180,-70,2,0,502.534,14,90.364,1,0.065,32.805,39.25
25,Index_25_Parallel.png,Index_25_Back.png,Index_25_Front.png,Index_25_Top.png,65,2.3,7.6,0.7,0,0.3,40,1.8,6,1,0.2,0,-180,-50,1.4,0.1,509.949,17,90.123,1,0.065,32.691,36.242
26,Index_26_Parallel.png,Index_26_Back.png,Index_26_Front.png,Index_26_Top.png,70,2.5,7.6,0.5,0.2,0.1,30,1.4,5.8,0.8,0.2,0.2,-180,30,0.3,0,512.822,10,90.398,1,0.068,32.739,41.383
