in:Index,img:Output1,img:Output2,img:Output3,out:WWR_Skylight,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
0,Index_0_Parallel.png,Index_0_Back.png,Index_0_Front.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.8,0.1,0.1,-180,11.009,35,91.118,1,0.049,29.988,38.824
1,Index_1_Parallel.png,Index_1_Back.png,Index_1_Front.png,70,2.5,7.6,0.5,0.1,0.2,40,1.8,6,0.8,0,0.2,-180,12.537,34,91.118,1,0.046,30.118,38.936
2,Index_2_Parallel.png,Index_2_Back.png,Index_2_Front.png,70,2.5,7.6,0.5,0.2,0.1,40,1.8,6,0.8,0.1,0.1,-180,13.295,34,91.118,1,0.049,30.195,38.824
3,Index_3_Parallel.png,Index_3_Back.png,Index_3_Front.png,70,2.6,7.3,0.4,0,0.6,40,1.8,6,0.8,0.2,0,-180,15.129,35,91.118,1,0.049,30.383,38.672
4,Index_4_Parallel.png,Index_4_Back.png,Index_4_Front.png,70,2.5,7.6,0.5,0.1,0.2,40,1.9,5.7,0.8,0,0.5,-180,15.734,35,91.118,1,0.059,30.431,38.63
5,Index_5_Parallel.png,Index_5_Back.png,Index_5_Front.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.9,0.1,0.1,-180,16.231,36,91.118,1,0.046,30.542,38.327
6,Index_6_Parallel.png,Index_6_Back.png,Index_6_Front.png,70,2.5,7.6,0.5,0.1,0.2,40,2,5.4,0.8,0,0.8,-180,20.474,34,91.084,1,0.065,30.8,38.591
7,Index_7_Parallel.png,Index_7_Back.png,Index_7_Front.png,70,2.5,7.6,0.5,0.1,0.2,40,2,5.4,0.8,0.1,0.7,-180,21.132,34,91.084,1,0.056,30.854,38.709
8,Index_8_Parallel.png,Index_8_Back.png,Index_8_Front.png,70,2.5,7.6,0.5,0.2,0.1,40,2,5.4,0.8,0,0.8,-180,21.471,35,91.084,1,0.049,30.918,38.591
9,Index_9_Parallel.png,Index_9_Back.png,Index_9_Front.png,70,2.5,7.6,0.5,0.3,0,40,2,5.4,0.8,0.3,0.5,-180,23.305,34,91.084,1,0.062,31.035,38.698
10,Index_10_Parallel.png,Index_10_Back.png,Index_10_Front.png,70,2.5,7.6,0.5,0.2,0.1,40,2,5.4,0.9,0.6,0.2,-180,24.48,36,91.084,1,0.059,31.35,37.816
11,Index_11_Parallel.png,Index_11_Back.png,Index_11_Front.png,70,2.6,7.3,0.4,0.6,0,40,2,5.4,0.8,0.3,0.5,-180,30.802,35,91.049,1,0.062,31.678,38.423
12,Index_12_Parallel.png,Index_12_Back.png,Index_12_Front.png,65,2.3,7.6,0.7,0.1,0.2,40,1.8,6,0.8,0.2,0,-180,33.379,37,90.706,1,0.062,31.272,38.09
13,Index_13_Parallel.png,Index_13_Back.png,Index_13_Front.png,65,2.3,7.6,0.7,0.2,0.1,40,1.8,6,0.8,0,0.2,-180,34.458,36,90.706,1,0.062,31.346,38.09
14,Index_14_Parallel.png,Index_14_Back.png,Index_14_Front.png,65,2.3,7.6,0.7,0.1,0.2,40,1.8,6,0.9,0,0.2,-180,40.784,38,90.672,1,0.065,31.866,37.556
15,Index_15_Parallel.png,Index_15_Back.png,Index_15_Front.png,65,2.3,7.6,0.7,0.2,0.1,40,1.8,6,0.9,0.2,0,-180,41.504,37,90.672,1,0.068,31.908,37.556
16,Index_16_Parallel.png,Index_16_Back.png,Index_16_Front.png,70,2.5,7.6,0.5,0.3,0,35,1.6,5.9,0.9,0.3,0,-180,42.2,32,90.947,1,0.065,31.918,39.855
17,Index_17_Parallel.png,Index_17_Back.png,Index_17_Front.png,65,2.3,7.6,0.7,0.3,0,40,1.8,6,0.9,0,0.2,-180,42.999,37,90.672,1,0.062,32.032,37.556
18,Index_18_Parallel.png,Index_18_Back.png,Index_18_Front.png,65,2.3,7.6,0.7,0.2,0.1,40,1.8,6,1,0.2,0,-180,49.282,39,90.672,1,0.071,32.5,37.414
19,Index_19_Parallel.png,Index_19_Back.png,Index_19_Front.png,65,2.3,7.6,0.7,0.3,0,40,1.8,6,1,0.1,0.1,-180,51.086,38,90.672,1,0.074,32.669,37.29
20,Index_20_Parallel.png,Index_20_Back.png,Index_20_Front.png,65,2.6,6.8,0.4,0.7,0.4,40,1.8,6,0.8,0,0.2,-180,52.977,35,90.706,1,0.071,32.539,38.201
21,Index_21_Parallel.png,Index_21_Back.png,Index_21_Front.png,60,2.1,7.7,0.9,0.2,0,40,1.8,6,0.8,0,0.2,-180,63.467,38,90.329,1,0.071,32.632,37.443
22,Index_22_Parallel.png,Index_22_Back.png,Index_22_Front.png,65,2.3,7.6,0.7,0,0.3,35,1.6,5.9,0.8,0,0.3,-180,64.607,33,90.535,1,0.068,32.402,39.503
23,Index_23_Parallel.png,Index_23_Back.png,Index_23_Front.png,60,2.1,7.7,0.9,0.2,0,40,1.9,5.7,0.8,0,0.5,-180,70.181,36,90.295,1,0.077,33.08,37.093
24,Index_24_Parallel.png,Index_24_Back.png,Index_24_Front.png,60,2.1,7.7,0.9,0.2,0,40,1.8,6,0.9,0.2,0,-180,71.292,36,90.295,1,0.074,33.265,36.878
25,Index_25_Parallel.png,Index_25_Back.png,Index_25_Front.png,60,2.1,7.7,0.8,0,0.2,40,1.8,6,0.8,0.2,0,-180,72.018,36,90.329,1,0.08,32.938,37.775
26,Index_26_Parallel.png,Index_26_Back.png,Index_26_Front.png,70,2.5,7.6,0.5,0,0.3,30,1.4,5.8,0.9,0,0.4,-180,74.782,18,90.741,1,0.065,32.82,41.575
27,Index_27_Parallel.png,Index_27_Back.png,Index_27_Front.png,70,2.5,7.6,0.5,0.2,0.1,30,1.4,5.8,0.9,0.4,0,-180,78.811,17,90.741,1,0.074,32.99,41.575
28,Index_28_Parallel.png,Index_28_Back.png,Index_28_Front.png,60,2.4,6.8,0.6,0,1.1,40,1.8,6,0.8,0.1,0.1,-180,79.893,37,90.329,1,0.074,33.522,37.521
29,Index_29_Parallel.png,Index_29_Back.png,Index_29_Front.png,70,2.5,7.6,0.5,0.2,0.1,30,1.5,5.4,0.8,0.3,0.5,-180,81.204,16,90.741,1,0.077,33.062,41.695
30,Index_30_Parallel.png,Index_30_Back.png,Index_30_Front.png,70,2.6,7.3,0.4,0.4,0.2,30,1.4,5.8,0.8,0,0.4,-180,81.226,16,90.706,1,0.062,33.134,41.342
31,Index_31_Parallel.png,Index_31_Back.png,Index_31_Front.png,60,2.2,7.4,0.8,0.4,0.1,40,1.8,6,1,0.2,0,-180,83.2,36,90.295,1,0.08,34.011,36.775
32,Index_32_Parallel.png,Index_32_Back.png,Index_32_Front.png,65,2.3,7.6,0.7,0.1,0.2,35,1.7,5.6,1,0.2,0.4,-180,83.54,35,90.501,1,0.074,33.883,38.162
33,Index_33_Parallel.png,Index_33_Back.png,Index_33_Front.png,70,2.5,7.6,0.5,0.2,0.1,30,1.4,5.8,1,0.2,0.2,-180,86.455,16,90.741,1,0.071,33.527,41.188
34,Index_34_Parallel.png,Index_34_Back.png,Index_34_Front.png,70,2.5,7.6,0.5,0,0.3,30,1.6,5.1,1,0,1.1,-180,90.885,17,90.706,1,0.086,33.927,40.279
35,Index_35_Parallel.png,Index_35_Back.png,Index_35_Front.png,65,2.3,7.6,0.7,0.2,0.1,35,1.9,5,0.9,0.2,1,-180,92.98,34,90.466,1,0.086,34.081,38.495
36,Index_36_Parallel.png,Index_36_Back.png,Index_36_Front.png,70,2.5,7.6,0.5,0.2,0.1,30,1.6,5.1,1,0.1,1,-180,95.01,17,90.706,1,0.086,34.156,40.268
37,Index_37_Parallel.png,Index_37_Back.png,Index_37_Front.png,60,2.4,6.8,0.6,1.1,0,40,1.8,6,0.8,0,0.2,-180,99.317,36,90.329,1,0.09,34.469,37.638
38,Index_38_Parallel.png,Index_38_Back.png,Index_38_Front.png,70,2.5,7.6,0.5,0.1,0.2,30,2,4,0.8,0.2,2,-180,110.329,16,90.638,1,0.093,34.496,40.658
