in:Index,img:Output1,img:Output2,img:Output3,out:WWR_Skylight,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
0,Index_0_Parallel.png,Index_0_Back.png,Index_0_Front.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.8,0,0.2,0,12.919,53,85.837,1,0.605,37.23,38.936
1,Index_1_Parallel.png,Index_1_Back.png,Index_1_Front.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.8,0,0.2,0,13.668,52,85.837,1,0.605,37.288,38.936
2,Index_2_Parallel.png,Index_2_Back.png,Index_2_Front.png,70,2.5,7.6,0.5,0.1,0.2,40,1.8,6,0.8,0.2,0,0,16.306,51,85.837,1,0.608,37.488,38.936
3,Index_3_Parallel.png,Index_3_Back.png,Index_3_Front.png,70,2.5,7.6,0.5,0.2,0.1,40,1.8,6,0.9,0,0.2,0,31.621,51,85.768,1,0.62,38.598,38.443
4,Index_4_Parallel.png,Index_4_Back.png,Index_4_Front.png,70,2.5,7.6,0.5,0.3,0,40,1.8,6,0.9,0.2,0,0,33.986,53,85.768,1,0.614,38.79,38.443
5,Index_5_Parallel.png,Index_5_Back.png,Index_5_Front.png,70,2.5,7.6,0.5,0,0.3,40,2,5.4,0.8,0,0.8,0,38.402,52,85.768,1,0.617,39.072,38.591
6,Index_6_Parallel.png,Index_6_Back.png,Index_6_Front.png,70,2.5,7.6,0.5,0,0.3,40,2,5.4,0.8,0.2,0.6,0,39.833,52,85.734,1,0.617,39.092,38.574
7,Index_7_Parallel.png,Index_7_Back.png,Index_7_Front.png,70,2.5,7.6,0.5,0,0.3,40,2,5.4,0.8,0.6,0.2,0,40.794,51,85.734,1,0.617,39.123,38.702
8,Index_8_Parallel.png,Index_8_Back.png,Index_8_Front.png,65,2.3,7.6,0.7,0.1,0.2,40,1.8,6,0.8,0.2,0,0,41.889,51,85.631,1,0.627,39.097,38.09
9,Index_9_Parallel.png,Index_9_Back.png,Index_9_Front.png,70,2.6,7.3,0.4,0,0.6,40,2,5.4,0.8,0.3,0.5,0,46.681,51,85.734,1,0.623,39.614,38.423
10,Index_10_Parallel.png,Index_10_Back.png,Index_10_Front.png,65,2.3,7.6,0.7,0.1,0.2,40,1.8,6,0.9,0.2,0,0,56.239,50,85.562,1,0.633,40.065,37.556
11,Index_11_Parallel.png,Index_11_Back.png,Index_11_Front.png,70,2.5,7.6,0.5,0.1,0.2,35,1.6,5.9,0.8,0.3,0,0,59.745,18,85.665,1,0.633,39.628,40.275
12,Index_12_Parallel.png,Index_12_Back.png,Index_12_Front.png,70,2.5,7.6,0.5,0.1,0.2,35,1.6,5.9,0.9,0,0.3,0,71.836,49,85.665,1,0.639,40.443,39.855
13,Index_13_Parallel.png,Index_13_Back.png,Index_13_Front.png,60,2.1,7.7,0.9,0,0.2,40,1.8,6,0.8,0.2,0,0,75.398,50,85.391,1,0.645,40.767,37.443
14,Index_14_Parallel.png,Index_14_Back.png,Index_14_Front.png,70,2.5,7.6,0.5,0.2,0.1,35,1.6,5.9,0.9,0.2,0.1,0,75.659,49,85.665,1,0.636,40.724,39.745
15,Index_15_Parallel.png,Index_15_Back.png,Index_15_Front.png,65,2.3,7.6,0.7,0.2,0.1,40,1.8,6,1,0.1,0.1,0,81.383,51,85.528,1,0.676,41.577,37.29
16,Index_16_Parallel.png,Index_16_Back.png,Index_16_Front.png,70,2.5,7.6,0.5,0.3,0,35,1.6,5.9,0.9,0.3,0,0,82.616,48,85.665,1,0.639,41.075,39.855
17,Index_17_Parallel.png,Index_17_Back.png,Index_17_Front.png,65,2.3,7.6,0.7,0.3,0,40,1.8,6,1,0.1,0.1,0,84.237,51,85.528,1,0.67,41.796,37.29
18,Index_18_Parallel.png,Index_18_Back.png,Index_18_Front.png,60,2.1,7.7,0.9,0.2,0,40,1.8,6,0.8,0.1,0.1,0,84.613,50,85.391,1,0.645,41.39,37.325
19,Index_19_Parallel.png,Index_19_Back.png,Index_19_Front.png,60,2.1,7.7,0.9,0.1,0.1,40,1.8,6,0.9,0.1,0.1,0,90.047,52,85.357,1,0.642,41.989,36.755
20,Index_20_Parallel.png,Index_20_Back.png,Index_20_Front.png,70,2.5,7.6,0.5,0,0.3,35,1.6,5.9,1,0.2,0.1,0,90.472,50,85.631,1,0.664,41.55,39.256
21,Index_21_Parallel.png,Index_21_Back.png,Index_21_Front.png,70,2.5,7.6,0.5,0.2,0.1,35,1.7,5.6,0.9,0,0.6,0,90.903,49,85.631,1,0.63,41.621,39.515
22,Index_22_Parallel.png,Index_22_Back.png,Index_22_Front.png,60,2.1,7.7,0.9,0.1,0.1,40,1.8,6,0.9,0,0.2,0,92.016,51,85.357,1,0.648,41.993,36.878
23,Index_23_Parallel.png,Index_23_Back.png,Index_23_Front.png,60,2.3,7,0.7,0,0.9,40,1.8,6,0.8,0.1,0.1,0,96.672,50,85.357,1,0.657,41.929,37.316
24,Index_24_Parallel.png,Index_24_Back.png,Index_24_Front.png,70,2.5,7.6,0.5,0.2,0.1,35,1.6,5.9,1,0,0.3,0,98.72,49,85.631,1,0.67,41.939,39.371
25,Index_25_Parallel.png,Index_25_Back.png,Index_25_Front.png,65,2.4,7.3,0.6,0.5,0.1,40,1.8,6,1,0,0.2,0,99.501,50,85.528,1,0.688,42.652,37.344
26,Index_26_Parallel.png,Index_26_Back.png,Index_26_Front.png,65,2.3,7.6,0.7,0,0.3,35,1.6,5.9,0.8,0.1,0.2,0,100.117,49,85.46,1,0.648,41.345,39.5
27,Index_27_Parallel.png,Index_27_Back.png,Index_27_Front.png,60,2.1,7.7,0.9,0,0.2,40,1.8,6,1,0.1,0.1,0,111.901,51,85.322,1,0.691,43.047,36.584
28,Index_28_Parallel.png,Index_28_Back.png,Index_28_Front.png,65,2.5,7,0.5,0.8,0.1,40,2,5.4,0.8,0.6,0.2,0,121.426,49,85.494,1,0.673,43.333,38.137
29,Index_29_Parallel.png,Index_29_Back.png,Index_29_Front.png,60,2.3,7,0.7,0.5,0.4,40,1.8,6,0.9,0,0.2,0,122.545,50,85.322,1,0.67,43.494,36.972
30,Index_30_Parallel.png,Index_30_Back.png,Index_30_Front.png,60,2.1,7.7,0.8,0.1,0.1,40,1.9,5.7,1,0.1,0.4,0,145.076,50,85.288,1,0.698,44.777,36.629
31,Index_31_Parallel.png,Index_31_Back.png,Index_31_Front.png,70,2.5,7.6,0.5,0.2,0.1,30,1.4,5.8,0.8,0.3,0.1,0,145.439,17,85.494,1,0.657,42.582,41.553
32,Index_32_Parallel.png,Index_32_Back.png,Index_32_Front.png,70,2.5,7.6,0.5,0.3,0,30,1.4,5.8,0.8,0.2,0.2,0,153.999,17,85.494,1,0.664,42.917,41.551
33,Index_33_Parallel.png,Index_33_Back.png,Index_33_Front.png,30,1.2,6.8,0.8,0,1.1,40,2,5.4,1,0,0.8,0,161.191,10,83.676,1,0.864,68.546,29.626
34,Index_34_Parallel.png,Index_34_Back.png,Index_34_Front.png,70,2.5,7.6,0.5,0.3,0,30,1.4,5.8,0.9,0.4,0,0,167.947,16,85.494,1,0.664,43.51,41.575
35,Index_35_Parallel.png,Index_35_Back.png,Index_35_Front.png,55,1.9,7.8,0.8,0,0.1,40,1.8,6,0.8,0,0.2,0,172.02,49,85.151,1,0.685,44.951,37.269
36,Index_36_Parallel.png,Index_36_Back.png,Index_36_Front.png,60,2.1,7.7,0.9,0,0.2,35,1.6,5.9,0.9,0,0.3,0,173.521,48,85.219,1,0.66,44.506,38.423
37,Index_37_Parallel.png,Index_37_Back.png,Index_37_Front.png,60,2.6,6.2,0.4,1.3,0.4,40,1.8,6,0.8,0,0.2,0,174.07,49,85.322,1,0.691,45.778,37.465
38,Index_38_Parallel.png,Index_38_Back.png,Index_38_Front.png,55,1.9,7.8,1,0,0.1,40,1.9,5.7,0.9,0,0.5,0,175.535,50,85.117,1,0.676,46.102,36.329
39,Index_39_Parallel.png,Index_39_Back.png,Index_39_Front.png,70,2.5,7.6,0.5,0.3,0,30,1.5,5.4,0.8,0.4,0.4,0,178.049,15,85.494,1,0.667,43.856,41.693
40,Index_40_Parallel.png,Index_40_Back.png,Index_40_Front.png,55,1.9,7.8,0.8,0.1,0,40,1.8,6,0.9,0,0.2,0,190.561,49,85.117,1,0.701,46.23,36.695
41,Index_41_Parallel.png,Index_41_Back.png,Index_41_Front.png,60,2.5,6.5,0.5,0.9,0.5,40,1.8,6,1,0,0.2,0,191.182,49,85.254,1,0.713,46.505,37.092
42,Index_42_Parallel.png,Index_42_Back.png,Index_42_Front.png,70,2.5,7.6,0.5,0.3,0,30,1.7,4.8,0.8,0,1.4,0,197.883,15,85.494,1,0.679,45.15,40.898
43,Index_43_Parallel.png,Index_43_Back.png,Index_43_Front.png,55,1.9,7.8,0.9,0.1,0,40,1.8,6,1,0.2,0,0,200.308,49,85.082,1,0.725,47.085,36.115
44,Index_44_Parallel.png,Index_44_Back.png,Index_44_Front.png,65,2.3,7.6,0.7,0.1,0.2,30,1.4,5.8,0.9,0,0.4,0,226.452,16,85.288,1,0.667,45.207,40.865
45,Index_45_Parallel.png,Index_45_Back.png,Index_45_Front.png,55,2.2,6.7,0.8,0.9,0.3,40,1.8,6,1,0,0.2,0,229.043,48,85.048,1,0.725,48.38,36.131
46,Index_46_Parallel.png,Index_46_Back.png,Index_46_Front.png,30,1.8,4.5,0.8,0,3.4,40,2,5.4,1,0.7,0.1,0,236.804,9,83.642,1,0.867,68.712,30.068
47,Index_47_Parallel.png,Index_47_Back.png,Index_47_Front.png,65,2.3,7.6,0.7,0.2,0.1,30,1.4,5.8,0.9,0,0.4,0,238.81,15,85.288,1,0.676,45.615,40.865
48,Index_48_Parallel.png,Index_48_Back.png,Index_48_Front.png,30,1.9,4.3,0.8,1,2.6,40,2,5.4,1,0.5,0.3,0,247.063,8,83.642,1,0.873,68.962,30.112
49,Index_49_Parallel.png,Index_49_Back.png,Index_49_Front.png,65,2.3,7.6,0.7,0.3,0,30,1.4,5.8,0.9,0.3,0.1,0,250.102,15,85.254,1,0.679,45.824,40.861
50,Index_50_Parallel.png,Index_50_Back.png,Index_50_Front.png,50,2.1,6.4,0.9,0.6,0.9,40,1.8,6,0.9,0.1,0.1,0,250.893,49,84.842,1,0.707,49.704,35.386
51,Index_51_Parallel.png,Index_51_Back.png,Index_51_Front.png,65,2.3,7.6,0.7,0,0.3,30,1.4,5.8,1,0.4,0,0,255.656,13,85.254,1,0.71,46.095,40.449
52,Index_52_Parallel.png,Index_52_Back.png,Index_52_Front.png,50,1.8,7.5,0.9,0.1,0.3,40,1.8,6,0.9,0.1,0.1,0,255.836,48,84.842,1,0.704,49.222,35.795
53,Index_53_Parallel.png,Index_53_Back.png,Index_53_Front.png,50,1.8,7.5,1,0.1,0.3,40,2,5.4,1,0.3,0.5,0,257.297,15,84.774,1,0.765,52.197,33.997
54,Index_54_Parallel.png,Index_54_Back.png,Index_54_Front.png,50,1.8,7.5,0.9,0,0.4,40,1.8,6,0.9,0,0.2,0,259.085,48,84.842,1,0.71,49.09,35.92
55,Index_55_Parallel.png,Index_55_Back.png,Index_55_Front.png,65,2.3,7.6,0.7,0.1,0.2,30,1.4,5.8,1,0,0.4,0,261.507,13,85.254,1,0.701,46.407,40.449
