in:Index,img:Output1,img:Output2,img:Output3,out:WWR_Skylight,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Frame_BL,out:Frame_BR,out:Frame_TR,out:Frame_TL,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
0,Index_0_Parallel.png,Index_0_Back.png,Index_0_Front.png,65,2.3,7.6,0.7,0.1,0.2,40,1.8,6,0.9,0,0.2,0,0.9,0.2,0.1,0.2,40.674,11,85.357,1,0.639,41.771,36.361
1,Index_1_Parallel.png,Index_1_Back.png,Index_1_Front.png,70,2.5,7.6,0.5,0.2,0.1,40,1.8,6,0.8,0,0.2,0,0.5,0.3,0.4,0.5,48.494,11,85.288,1,0.67,41.99,33.79
2,Index_2_Parallel.png,Index_2_Back.png,Index_2_Front.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.9,0.1,0.1,0,1,0.9,0.1,1.1,175.795,13,85.048,1,0.679,44.862,31.227
3,Index_3_Parallel.png,Index_3_Back.png,Index_3_Front.png,65,2.3,7.6,0.7,0,0.3,40,1.8,6,0.9,0,0.2,0,1.2,1,0.1,0.7,184.654,13,85.014,1,0.651,44.798,32.44
4,Index_4_Parallel.png,Index_4_Back.png,Index_4_Front.png,60,2.1,7.7,0.8,0.1,0.1,40,1.8,6,0.8,0.1,0.1,0,1.2,1.3,0.4,0.1,192.299,11,84.945,1,0.62,44.525,34.257
5,Index_5_Parallel.png,Index_5_Back.png,Index_5_Front.png,70,2.5,7.6,0.5,0.2,0.1,40,1.9,5.7,0.9,0.1,0.4,0,0.5,0.8,0.2,0.9,200.04,13,85.082,1,0.691,45.317,31.925
6,Index_6_Parallel.png,Index_6_Back.png,Index_6_Front.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.9,0.2,0,0,0.7,0.4,0.7,0.8,223.71,15,84.945,1,0.719,45.825,29.797
7,Index_7_Parallel.png,Index_7_Back.png,Index_7_Front.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,1,0.2,0,0,0.6,0.3,0.3,1,233.266,13,85.014,1,0.744,45.854,30.884
8,Index_8_Parallel.png,Index_8_Back.png,Index_8_Front.png,65,2.3,7.6,0.7,0.3,0,40,2,5.4,0.9,0,0.8,0,1.2,1.2,0.3,0.3,234.737,12,85.048,1,0.645,45.991,32.673
9,Index_9_Parallel.png,Index_9_Back.png,Index_9_Front.png,30,1.2,6.8,0.8,1.1,0,10,0.8,3.4,2,1.9,0.9,0,1.3,1.1,1.5,1.5,257.756,0,81.379,0.262,1,78.302,14.379
10,Index_10_Parallel.png,Index_10_Back.png,Index_10_Front.png,65,2.3,7.6,0.7,0.1,0.2,40,1.8,6,1,0.1,0.1,0,0.6,0.4,0.1,0.7,257.912,11,85.014,1,0.728,45.93,32.714
11,Index_11_Parallel.png,Index_11_Back.png,Index_11_Front.png,70,2.6,7.3,0.4,0.5,0.1,35,2,4.7,0.9,0,1.5,0,0.1,0.2,0.1,0.1,260.223,9,85.357,1,0.682,46.416,38.367
