in:Index,img:Output1,img:Output2,img:Output3,img:Output4,out:WWR_Skylight,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
0,Index_0_Parallel.png,Index_0_Back.png,Index_0_Front.png,Index_0_Top.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.8,0,0.2,0,-80,0.1,0.1,74.571,15,85.802,1,0.599,37.384,38.936
1,Index_1_Parallel.png,Index_1_Back.png,Index_1_Front.png,Index_1_Top.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.9,0,0.2,0,-80,0.4,0.2,144.687,17,85.7,1,0.608,38.152,38.443
2,Index_2_Parallel.png,Index_2_Back.png,Index_2_Front.png,Index_2_Top.png,70,2.5,7.6,0.5,0.2,0.1,40,1.8,6,0.9,0.2,0,0,-30,0.1,0.3,177.617,17,85.768,1,0.62,38.669,38.443
3,Index_3_Parallel.png,Index_3_Back.png,Index_3_Front.png,Index_3_Top.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.9,0,0.2,0,0,0.3,0.3,185.707,18,85.631,1,0.608,38.542,38.065
4,Index_4_Parallel.png,Index_4_Back.png,Index_4_Front.png,Index_4_Top.png,70,2.5,7.6,0.5,0.2,0.1,40,1.8,6,0.8,0.1,0.1,0,-30,0.9,0.3,193.325,19,85.425,1,0.617,38.334,36.992
5,Index_5_Parallel.png,Index_5_Back.png,Index_5_Front.png,Index_5_Top.png,70,2.5,7.6,0.5,0.2,0.1,40,1.8,6,0.9,0.1,0.1,0,20,0.2,0.4,203.386,17,85.665,1,0.62,38.777,38.239
6,Index_6_Parallel.png,Index_6_Back.png,Index_6_Front.png,Index_6_Top.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.9,0,0.2,0,-50,1.2,0.6,234.484,19,85.391,1,0.623,38.683,36.929
7,Index_7_Parallel.png,Index_7_Back.png,Index_7_Front.png,Index_7_Top.png,70,2.5,7.6,0.5,0.3,0,40,1.8,6,0.8,0.2,0,0,40,0.6,0.1,241.138,19,85.46,1,0.639,38.816,37.166
8,Index_8_Parallel.png,Index_8_Back.png,Index_8_Front.png,Index_8_Top.png,30,1.2,6.8,0.8,1.1,0,10,0.8,3.4,2,1.9,0.9,0,80,2,1,282.979,1,80.384,0.006,1,67.657,2.65
9,Index_9_Parallel.png,Index_9_Back.png,Index_9_Front.png,Index_9_Top.png,65,2.3,7.6,0.7,0.1,0.2,40,1.8,6,0.8,0.1,0.1,0,-70,0.6,0.4,284.182,18,85.46,1,0.636,39.196,37.963
10,Index_10_Parallel.png,Index_10_Back.png,Index_10_Front.png,Index_10_Top.png,65,2.3,7.6,0.7,0.2,0.1,40,1.8,6,0.8,0.1,0.1,0,-70,1.2,0.4,309.768,18,85.391,1,0.639,39.305,37.777
11,Index_11_Parallel.png,Index_11_Back.png,Index_11_Front.png,Index_11_Top.png,65,2.3,7.6,0.7,0,0.3,40,1.9,5.7,0.8,0.2,0.3,0,-30,0.1,0.7,321.218,17,85.528,1,0.633,39.773,37.625
12,Index_12_Parallel.png,Index_12_Back.png,Index_12_Front.png,Index_12_Top.png,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.8,0.2,0,0,0,1.4,0,335.957,88,85.185,1,0.654,39.501,33.228
13,Index_13_Parallel.png,Index_13_Back.png,Index_13_Front.png,Index_13_Top.png,70,2.6,7.3,0.4,0.3,0.3,40,1.8,6,1,0,0.2,0,-80,0.1,0,336.689,16,85.7,1,0.654,40.361,38.045
