in:Index,img:Output1,img:Output2,img:Output3,img:Output4,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
0,Index_0_Parallel.png,Index_0_Back.png,Index_0_Front.png,Index_0_Top.png,70,70,2.5,7.6,0.5,0,0.3,40,2,5.4,0.8,0.8,0,-180,2,0.02,0.1,7.58,0,0,40.378,13,90.947,1,0.049,30.938,38.849
1,Index_1_Parallel.png,Index_1_Back.png,Index_1_Front.png,Index_1_Top.png,70,69,2.5,7.6,0.5,0,0.3,40,1.8,6,0.8,0,0.2,-180,9,0.02,0.1,0.93,0,0,111.91,13,90.295,1,0.068,31.597,38.668
2,Index_2_Parallel.png,Index_2_Back.png,Index_2_Front.png,Index_2_Top.png,70,70,2.6,7.3,0.4,0.6,0,40,1.8,6,0.8,0,0.2,-180,2,0.02,1.5,7.28,0,0,168.614,21,90.123,1,0.065,32.712,34.058
3,Index_3_Parallel.png,Index_3_Back.png,Index_3_Front.png,Index_3_Top.png,70,69,2.6,7.3,0.4,0.6,0,40,2,5.4,0.8,0.3,0.5,-180,9,0.02,0.1,0.89,0,0,246.446,14,90.192,1,0.08,33.429,37.988
4,Index_4_Parallel.png,Index_4_Back.png,Index_4_Front.png,Index_4_Top.png,65,60,2.3,7.6,0.7,0.1,0.2,40,1.9,5.7,0.8,0.2,0.3,-180,3,0.3,0.1,3.5,0.1,0.2,287.346,17,90.021,1,0.074,33.841,36.9
5,Index_5_Parallel.png,Index_5_Back.png,Index_5_Front.png,Index_5_Top.png,70,63,2.5,7.6,0.5,0,0.3,40,1.8,6,0.8,0,0.2,-180,9,0.1,0.1,0.85,0.1,0,328.305,14,89.746,1,0.077,33.663,37.955
6,Index_6_Parallel.png,Index_6_Back.png,Index_6_Front.png,Index_6_Top.png,70,67,2.5,7.6,0.5,0,0.3,35,2,4.7,0.9,1.1,0.4,-180,2,0.4,0.3,7.2,0.05,0.25,336.919,14,90.226,1,0.093,34.755,37.949
7,Index_7_Parallel.png,Index_7_Back.png,Index_7_Front.png,Index_7_Top.png,65,65,2.3,7.6,0.7,0.1,0.2,30,1.4,5.8,1,0.2,0.2,-180,2,0.02,0.2,7.58,0,0,437.918,10,90.089,1,0.09,35.31,39.993
8,Index_8_Parallel.png,Index_8_Back.png,Index_8_Front.png,Index_8_Top.png,70,68,2.5,7.6,0.5,0.1,0.2,30,1.6,5.1,0.9,0,1.1,-180,2,0.3,0.6,7.3,0.15,0.15,444.144,12,90.021,1,0.083,35.427,39.011
9,Index_9_Parallel.png,Index_9_Back.png,Index_9_Front.png,Index_9_Top.png,70,63,2.5,7.6,0.5,0,0.3,40,2,5.4,0.8,0.6,0.2,-180,9,0.1,0.1,0.85,0,0,480.411,14,89.506,1,0.105,34.777,37.678
