in:Index,img:Output1,img:Output2,img:Output3,img:Output4,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
0,Index_0_Parallel.png,Index_0_Back.png,Index_0_Front.png,Index_0_Top.png,70,69,2.5,7.6,0.5,0.3,0,40,1.8,6,0.8,0.2,0,0,8,0.02,0.1,1.07,0,0,54.225,12,85.357,1,0.648,39.94,38.444
1,Index_1_Parallel.png,Index_1_Back.png,Index_1_Front.png,Index_1_Top.png,70,70,2.5,7.6,0.5,0,0.3,40,2,5.4,1,0,0.8,0,2,0.02,0.1,7.58,0,0,112.766,15,85.597,1,0.664,41.601,37.293
2,Index_2_Parallel.png,Index_2_Back.png,Index_2_Front.png,Index_2_Top.png,70,70,2.5,7.6,0.5,0,0.3,40,1.8,6,0.9,0.2,0,0,3,0.02,1.3,3.78,0,0,176.775,18,84.739,1,0.654,42.048,30.772
3,Index_3_Parallel.png,Index_3_Back.png,Index_3_Front.png,Index_3_Top.png,70,70,2.6,7.3,0.4,0.1,0.5,40,1.8,6,1,0,0.2,0,2,0.02,1.5,7.28,0,0,176.887,18,85.048,1,0.673,42.135,33.342
4,Index_4_Parallel.png,Index_4_Back.png,Index_4_Front.png,Index_4_Top.png,70,63,2.5,7.6,0.5,0.2,0.1,40,1.8,6,0.8,0,0.2,0,2,0.8,0.3,6.8,0.15,0.35,178.162,13,85.219,1,0.66,41.934,37.828
5,Index_5_Parallel.png,Index_5_Back.png,Index_5_Front.png,Index_5_Top.png,70,69,2.6,7.3,0.4,0.1,0.5,40,1.8,6,1,0,0.2,0,9,0.02,0.1,0.89,0,0,225.749,14,85.219,1,0.682,42.69,37.595
6,Index_6_Parallel.png,Index_6_Back.png,Index_6_Front.png,Index_6_Top.png,70,70,2.5,7.6,0.5,0,0.3,40,2,5.4,1,0.1,0.7,0,2,0.02,1.5,7.58,0,0,237.556,18,85.048,1,0.679,43.327,32.785
7,Index_7_Parallel.png,Index_7_Back.png,Index_7_Front.png,Index_7_Top.png,70,69,2.5,7.6,0.5,0,0.3,35,1.6,5.9,1,0.1,0.2,0,2,0.2,0.9,7.4,0.05,0.15,325.532,15,85.082,1,0.691,44.028,36.57
8,Index_8_Parallel.png,Index_8_Back.png,Index_8_Front.png,Index_8_Top.png,40,36,1.9,5.7,1,2,0.2,10,0.8,3.4,2,1.1,1.7,0,7,0.1,1.5,0.85,0,0,354.474,2,80.933,0.466,1,77.499,14.233
9,Index_9_Parallel.png,Index_9_Back.png,Index_9_Front.png,Index_9_Top.png,35,31,1.3,7.3,0.8,0.5,0.1,10,0.8,3.4,2,1.6,1.2,0,9,0.1,1.5,0.81,0,0.1,356.777,1,80.761,0.29,1,76.999,14.392
