in:Index,img:Output1,img:Output2,img:Output3,img:Output4,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
0,Index_0_Parallel.png,Index_0_Back.png,Index_0_Front.png,Index_0_Top.png,55,41,2.5,5.9,0.5,0.5,1.5,20,0.9,6,0.8,0.1,0.1,-180,-70,0.3,0,6,0.3,1.2,0.88,0.1,0.1,,5,84.122,1,0.7006,65.48,23.49
1,Index_1_Parallel.png,Index_1_Back.png,Index_1_Front.png,Index_1_Top.png,30,29,1.3,6.2,1,0.1,1.6,10,0.8,3.4,2,1.4,1.4,-180,-20,1.7,0.9,5,0.02,0.1,1.53,0,0,,2,83.985,0.962963,0.7377,70.86,31.3
2,Index_2_Parallel.png,Index_2_Back.png,Index_2_Front.png,Index_2_Top.png,55,49,2.2,6.7,0.8,0.9,0.3,15,1.2,3.4,1,1.7,1.1,-180,20,1,0.5,8,0.1,0.8,0.86,0.05,0.05,,21,83.265,0.993827,0.7623,70.19,19.34
3,Index_3_Parallel.png,Index_3_Back.png,Index_3_Front.png,Index_3_Top.png,45,44,1.8,6.8,0.8,0.5,0.6,35,1.6,5.9,0.8,0.2,0.1,-180,60,0.7,0.2,8,0.02,1.4,0.95,0,0,,21,83.573,1,0.7099,62.45,19.14
4,Index_4_Parallel.png,Index_4_Back.png,Index_4_Front.png,Index_4_Top.png,35,32,2,4.7,1,1.1,2.1,40,1.8,6,1,0,0.2,-180,-50,0.4,0.3,5,0.1,1.3,1.07,0.05,0,,21,84.465,1,0.7685,64.69,19.24
5,Index_5_Parallel.png,Index_5_Back.png,Index_5_Front.png,Index_5_Top.png,65,59,2.3,7.6,0.7,0,0.3,25,1.1,6.1,1,0.1,0,-180,40,1.2,0.7,2,0.7,0.5,6.9,0.35,0.35,,20,84.842,1,0.7562,63.01,21.55
6,Index_6_Parallel.png,Index_6_Back.png,Index_6_Front.png,Index_6_Top.png,50,43,2.4,5.6,0.6,0.4,1.9,25,1.4,4.8,0.9,0.2,1.2,-180,70,1.5,0,3,0.4,0.4,2.4,0.25,0.15,,3,84.534,1,0.7901,66.8,25.7
7,Index_7_Parallel.png,Index_7_Back.png,Index_7_Front.png,Index_7_Top.png,70,63,2.5,7.6,0.5,0,0.3,35,1.6,5.9,0.8,0.3,0,-180,-20,2,0.6,9,0.1,0.7,0.85,0.1,0,,23,84.396,1,0.5093,52.75,22.15
8,Index_8_Parallel.png,Index_8_Back.png,Index_8_Front.png,Index_8_Top.png,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,-180,0,1,0.5,6,0.5,0.8,0.92,0.05,0.05,,18,82.853,0.996914,0.7716,70.83,23.05
9,Index_9_Parallel.png,Index_9_Back.png,Index_9_Front.png,Index_9_Top.png,35,30,2.2,4.3,0.8,0.4,3.2,20,1,5.4,0.9,0.5,0.3,-180,10,0.3,0.1,2,0.6,0.6,3.7,0.05,0.3,,2,85.768,1,0.6883,63.91,36.87
10,Index_10_Parallel.png,Index_10_Back.png,Index_10_Front.png,Index_10_Top.png,45,44,1.9,6.4,0.9,0.4,1.1,30,1.4,5.8,0.8,0,0.4,-180,-80,0.9,0.8,8,0.02,0.8,0.89,0,0,,9,84.808,1,0.5895,57.93,23.81
11,Index_11_Parallel.png,Index_11_Back.png,Index_11_Front.png,Index_11_Top.png,30,29,2,4,0.9,0.3,3.6,25,1.1,6.1,0.8,0.1,0,-180,50,0.8,0.5,5,0.02,1.4,0.98,0,0,,4,82.647,0.876543,0.8951,74.63,18.74
12,Index_12_Parallel.png,Index_12_Back.png,Index_12_Front.png,Index_12_Top.png,70,65,2.5,7.6,0.5,0.1,0.2,40,1.8,6,1,0,0.2,-180,80,1.7,0.4,3,0.3,1.1,3.5,0.05,0,,6,84.294,1,0.8395,65.63,18.77
13,Index_13_Parallel.png,Index_13_Back.png,Index_13_Front.png,Index_13_Top.png,65,54,2.5,7,0.5,0.4,0.5,35,1.6,5.9,0.9,0.2,0.1,-180,-50,1.1,0.7,7,0.2,0.1,0.97,0.1,0.1,,10,88.512,1,0.1605,40.43,36.33
14,Index_14_Parallel.png,Index_14_Back.png,Index_14_Front.png,Index_14_Top.png,55,30,1.9,7.8,0.8,0.1,0,35,1.7,5.6,0.9,0.4,0.2,-180,-20,0.2,0.1,6,0.7,0.3,0.86,0.6,0.05,,6,85.597,1,0.6327,57.42,31.13
15,Index_15_Parallel.png,Index_15_Back.png,Index_15_Front.png,Index_15_Top.png,60,59,2.6,6.2,0.4,0.9,0.8,15,1.2,3.4,1,0.3,2.5,-180,-30,2,0.3,7,0.02,0.9,1.01,0,0,,22,84.053,1,0.6265,63.78,21.31
16,Index_16_Parallel.png,Index_16_Back.png,Index_16_Front.png,Index_16_Top.png,40,33,1.5,7.2,1,0,0.7,10,0.8,3.4,2,1.2,1.6,-180,30,1.3,0,4,0.4,1.3,2,0.3,0.1,,3,82.339,0.950617,0.7531,72.29,22.93
17,Index_17_Parallel.png,Index_17_Back.png,Index_17_Front.png,Index_17_Top.png,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,-180,0,1,0.5,6,0.5,0.8,0.92,0.05,0.05,,5,82.853,0.996914,0.7778,70.96,23.05
18,Index_18_Parallel.png,Index_18_Back.png,Index_18_Front.png,Index_18_Top.png,70,63,2.5,7.6,0.5,0.1,0.2,10,0.6,4.5,2,1.1,0.6,-180,70,0.1,0,9,0.1,1.5,0.85,0.05,0.05,,22,84.122,1,0.6296,64.26,16.09
19,Index_19_Parallel.png,Index_19_Back.png,Index_19_Front.png,Index_19_Top.png,70,63,2.6,7.3,0.4,0.5,0.1,40,2,5.4,1,0.2,0.6,-180,70,0.2,0.1,9,0.1,1.5,0.81,0.05,0,,25,84.396,1,0.5772,56.38,15.69
