in:Index,img:Output1,img:Output2,img:Output3,img:Output4,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:W_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
0,Index_0_Parallel.png,Index_0_Back.png,Index_0_Front.png,Index_0_Top.png,55,38,2.45,2.1,7.1,0.8,0.3,0.5,40,1.8,6.0,0.9,0.1,0.1,0,-50,0.3,0.0,3,1.1,1.0,0.35,0.75,83.779,100.0,79.9383,62.888117,30.407416
1,Index_1_Parallel.png,Index_1_Back.png,Index_1_Front.png,Index_1_Top.png,65,58,0.85,2.3,7.6,0.7,0.2,0.1,30,1.7,4.8,0.9,1.3,0.1,0,-10,0.7,0.4,9,0.1,0.4,0.0,0.1,82.305,100.0,81.4815,62.052006,29.28979
2,Index_2_Parallel.png,Index_2_Back.png,Index_2_Front.png,Index_2_Top.png,60,57,1.82,2.1,7.7,0.9,0.2,0.0,25,1.1,6.1,0.8,0.0,0.1,0,-40,0.8,0.5,5,0.1,0.6,0.0,0.05,82.202,100.0,77.1605,60.899506,33.157196
3,Index_3_Parallel.png,Index_3_Back.png,Index_3_Front.png,Index_3_Top.png,65,48,0.83,2.6,6.8,0.4,0.7,0.4,35,1.6,5.9,0.9,0.1,0.2,0,20,1.2,0.0,7,0.3,0.3,0.1,0.15,83.745,100.0,86.41980000000001,63.886543,29.437065
4,Index_4_Parallel.png,Index_4_Back.png,Index_4_Front.png,Index_4_Top.png,30,29,1.01,1.3,6.2,1.0,1.6,0.1,10,0.8,3.4,2.0,0.2,2.6,0,40,2.0,0.9,7,0.02,0.9,0.0,0.0,80.35,1.8519,100.0,72.62213,4.501509
5,Index_5_Parallel.png,Index_5_Back.png,Index_5_Front.png,Index_5_Top.png,45,40,0.85,1.6,7.6,0.9,0.3,0.0,35,1.6,5.9,1.0,0.3,0.0,0,-70,1.2,0.2,9,0.1,0.3,0.05,0.05,84.122,100.0,84.8765,66.736914,30.994543
6,Index_6_Parallel.png,Index_6_Back.png,Index_6_Front.png,Index_6_Top.png,40,33,1.3,1.7,6.4,0.9,0.0,1.5,15,1.2,3.4,0.8,1.5,1.3,0,80,1.4,0.6,5,0.3,0.1,0.15,0.15,80.796,91.0494,94.1358,77.623611,23.293023
7,Index_7_Parallel.png,Index_7_Back.png,Index_7_Front.png,Index_7_Top.png,40,34,4.0,2.3,4.7,0.7,0.3,2.9,20,1.5,3.6,1.0,0.1,2.5,0,30,0.4,0.7,2,0.7,0.7,0.25,0.1,82.785,100.0,92.9012,75.748889,31.508266
8,Index_8_Parallel.png,Index_8_Back.png,Index_8_Front.png,Index_8_Top.png,50,32,0.92,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,0,0,1.0,0.5,6,0.5,0.6,0.05,0.05,82.27,100.0,93.2099,77.280093,25.133673
9,Index_9_Parallel.png,Index_9_Back.png,Index_9_Front.png,Index_9_Top.png,50,49,3.03,2.2,6.1,0.8,0.0,1.8,20,1.5,3.6,0.8,1.7,0.9,0,40,0.9,0.5,3,0.02,0.5,0.0,0.0,82.853,100.0,89.19749999999999,72.182099,26.525303
10,Index_10_Parallel.png,Index_10_Back.png,Index_10_Front.png,Index_10_Top.png,35,34,1.05,2.2,4.3,0.8,3.4,0.2,10,0.8,3.4,2.0,0.7,2.1,0,-40,1.4,0.0,5,0.02,0.9,0.0,0.0,82.819,55.8642,99.6914,77.385463,21.0046
11,Index_11_Parallel.png,Index_11_Back.png,Index_11_Front.png,Index_11_Top.png,60,41,1.32,2.1,7.7,0.9,0.0,0.2,40,1.8,6.0,0.9,0.0,0.2,0,80,0.7,0.1,5,0.6,0.3,0.25,0.35,82.476,100.0,78.3951,59.336728,33.286942
12,Index_12_Parallel.png,Index_12_Back.png,Index_12_Front.png,Index_12_Top.png,65,58,0.85,2.3,7.6,0.7,0.2,0.1,10,0.8,3.4,2.0,1.9,0.9,0,-80,0.8,0.1,9,0.1,0.8,0.05,0.0,82.888,98.7654,92.284,76.66179,22.889959
13,Index_13_Parallel.png,Index_13_Back.png,Index_13_Front.png,Index_13_Top.png,70,63,0.85,2.5,7.6,0.5,0.2,0.1,35,1.6,5.9,1.0,0.0,0.3,0,10,1.8,0.8,9,0.1,0.4,0.05,0.05,81.996,100.0,94.1358,66.330679,18.265329
14,Index_14_Parallel.png,Index_14_Back.png,Index_14_Front.png,Index_14_Top.png,55,50,1.13,2.0,7.4,0.8,0.3,0.2,30,1.9,4.3,0.9,0.2,1.7,0,-20,0.4,0.6,7,0.1,1.0,0.05,0.05,83.128,100.0,86.1111,69.609691,22.826016
15,Index_15_Parallel.png,Index_15_Back.png,Index_15_Front.png,Index_15_Top.png,30,29,3.98,2.0,4.0,0.8,0.0,3.9,35,1.6,5.9,0.8,0.1,0.2,0,0,1.4,0.3,2,0.02,0.1,0.0,0.0,83.128,100.0,86.1111,69.431049,29.185517
16,Index_16_Parallel.png,Index_16_Back.png,Index_16_Front.png,Index_16_Top.png,40,30,1.5,1.8,6.0,0.8,0.1,1.8,25,1.1,6.1,1.0,0.1,0.0,0,60,0.2,0.9,4,0.5,0.7,0.0,0.35,82.407,100.0,89.19749999999999,74.835926,31.104773
17,Index_17_Parallel.png,Index_17_Back.png,Index_17_Front.png,Index_17_Top.png,50,32,0.92,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,0,0,1.0,0.5,6,0.5,0.6,0.05,0.05,82.27,99.6914,93.2099,77.266204,25.133673
18,Index_18_Parallel.png,Index_18_Back.png,Index_18_Front.png,Index_18_Top.png,70,60,6.5,2.5,7.6,0.5,0.1,0.2,10,0.6,4.5,2.0,0.8,0.9,0,80,2.0,0.0,2,1.1,0.8,0.0,0.05,81.55,81.4815,96.2963,77.561574,18.767534
19,Index_19_Parallel.png,Index_19_Back.png,Index_19_Front.png,Index_19_Top.png,30,30,0.95,1.2,6.8,0.8,0.0,1.1,10,0.8,3.4,2.0,1.9,0.9,0,-80,0.2,0.0,8,0.02,0.2,0.0,0.0,81.893,78.3951,92.9012,76.371296,35.871207
20,Index_20_Parallel.png,Index_20_Back.png,Index_20_Front.png,Index_20_Top.png,70,66,6.9,2.6,7.3,0.4,0.5,0.1,10,0.8,3.4,2.0,0.0,2.8,0,80,2.0,0.1,2,0.4,0.1,0.2,0.2,81.824,82.716,95.9877,77.402191,19.719902
21,Index_21_Parallel.png,Index_21_Back.png,Index_21_Front.png,Index_21_Top.png,30,29,0.95,1.4,5.8,1.0,0.8,1.3,10,0.8,3.4,2.0,0.7,2.1,0,80,1.0,0.8,7,0.02,0.1,0.0,0.0,81.344,55.2469,97.2222,78.323519,27.684792
22,Index_22_Parallel.png,Index_22_Back.png,Index_22_Front.png,Index_22_Top.png,30,29,0.95,1.4,5.8,0.8,0.2,1.9,10,0.8,3.4,2.0,1.9,0.9,0,80,1.8,0.5,7,0.02,0.3,0.0,0.0,80.59,16.358,100.0,75.598333,14.729519
23,Index_23_Parallel.png,Index_23_Back.png,Index_23_Front.png,Index_23_Top.png,30,30,6.78,1.2,6.8,0.8,0.7,0.4,10,0.8,3.4,2.0,1.8,1.0,0,80,2.0,1.0,2,0.02,0.1,0.0,0.0,80.35,0.0,100.0,66.656667,2.523141
24,Index_24_Parallel.png,Index_24_Back.png,Index_24_Front.png,Index_24_Top.png,60,57,2.07,2.5,6.5,0.5,0.5,0.9,35,1.8,5.2,1.0,0.8,0.2,0,20,1.0,0.1,4,0.1,0.8,0.1,0.0,83.505,100.0,87.34570000000001,63.160957,26.235968
25,Index_25_Parallel.png,Index_25_Back.png,Index_25_Front.png,Index_25_Top.png,70,38,0.82,2.5,7.6,0.5,0.1,0.2,15,1.1,3.7,0.9,1.9,0.6,0,-40,1.5,0.4,6,0.7,0.5,0.55,0.15,84.671,100.0,94.1358,77.016111,34.472611
26,Index_26_Parallel.png,Index_26_Back.png,Index_26_Front.png,Index_26_Top.png,30,29,1.98,2.0,4.0,0.9,0.6,3.3,35,1.6,5.9,0.8,0.0,0.3,0,-50,1.2,0.6,3,0.02,0.1,0.0,0.0,83.265,100.0,83.64200000000001,68.669537,33.309344
27,Index_27_Parallel.png,Index_27_Back.png,Index_27_Front.png,Index_27_Top.png,35,32,1.08,1.6,5.9,0.8,0.9,1.1,20,0.9,6.0,0.8,0.0,0.2,0,0,2.0,0.8,6,0.1,1.0,0.0,0.0,81.379,94.7531,92.5926,76.819753,19.371816
28,Index_28_Parallel.png,Index_28_Back.png,Index_28_Front.png,Index_28_Top.png,45,41,0.99,1.6,7.6,0.8,0.1,0.2,40,1.8,6.0,1.0,0.0,0.2,0,40,1.5,0.2,8,0.1,0.2,0.05,0.05,83.368,100.0,89.81479999999999,66.889537,24.647573
29,Index_29_Parallel.png,Index_29_Back.png,Index_29_Front.png,Index_29_Top.png,65,58,6.8,2.3,7.6,0.7,0.3,0.0,25,1.5,4.5,0.9,0.5,1.2,0,-70,0.6,0.6,2,0.8,0.6,0.3,0.05,84.362,100.0,75.9259,57.370432,39.307585
30,Index_30_Parallel.png,Index_30_Back.png,Index_30_Front.png,Index_30_Top.png,40,36,0.85,1.9,5.7,1.0,0.9,1.3,20,1.5,3.6,1.0,2.3,0.3,0,50,0.3,0.0,7,0.1,0.7,0.05,0.0,81.962,98.7654,97.8395,78.065648,24.247396
31,Index_31_Parallel.png,Index_31_Back.png,Index_31_Front.png,Index_31_Top.png,50,45,0.84,1.8,7.5,1.0,0.0,0.4,10,0.8,3.4,2.0,0.9,1.9,0,70,0.5,0.4,9,0.1,0.4,0.05,0.05,81.241,99.0741,95.3704,77.519259,32.437913
