in:Index,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:EUI(old),out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
0,45,40,1.6,7.6,0.9,0.3,0,35,1.6,5.9,1,0.3,0,0,-70,1.2,0.2,9,0.1,0.3,0.85,0.05,0.05,82.202,84.122,1,0.848765,66.736914,30.994543
1,35,34,2.2,4.3,0.8,3.4,0.2,10,0.8,3.4,2,0.7,2.1,0,-40,1.4,0,5,0.02,0.9,1.05,0,0,80.761,82.819,0.558642,0.996914,77.385463,21.0046
2,65,58,2.3,7.6,0.7,0.2,0.1,10,0.8,3.4,2,1.9,0.9,0,-80,0.8,0.1,9,0.1,0.8,0.85,0.05,0,80.933,82.888,0.987654,0.92284,76.66179,22.889959
3,70,38,2.5,7.6,0.5,0.1,0.2,15,1.1,3.7,0.9,1.9,0.6,0,-40,1.5,0.4,6,0.7,0.5,0.82,0.55,0.15,82.647,84.671,1,0.941358,77.016111,34.472611
4,55,34,1.9,7.8,0.9,0.1,0,40,1.8,6,0.9,0,0.2,0,-80,1,0.1,4,1,1,1.6,0,0.15,83.162,85.117,1,0.861111,69.918302,24.773758
5,40,40,2.6,4.2,0.4,0.9,2.8,20,0.9,6,0.8,0.1,0.1,0,-80,0.5,0.1,5,0.02,0.1,1.03,0,0,82.339,84.431,1,0.83642,70.673981,41.412801
6,50,47,2.2,6.1,0.8,0.2,1.6,30,1.4,5.8,0.8,0,0.4,0,-80,1.1,0.3,4,0.1,0.1,1.93,0.05,0.05,84.156,86.454,1,0.762346,58.503333,39.066314
7,30,30,1.2,6.8,0.8,0,1.1,10,0.7,3.9,2,1.3,1,0,-80,1.2,0.4,8,0.1,1,0.95,0,0,80.898,82.853,0.391975,0.978395,77.610432,18.454063
8,30,29,2,4,0.9,3,0.9,30,1.4,5.8,0.8,0.3,0.1,0,-60,1.6,0.5,5,0.1,0.2,0.98,0,0,82.133,84.191,1,0.848765,70.997191,32.969272
9,50,31,2.6,5.2,0.4,2,0.7,15,0.7,5.8,2,0.3,0.1,0,-80,1.2,0.8,5,0.5,0.1,0.8,0.2,0.2,81.276,83.402,0.966049,0.938272,77.806451,36.236378
