in:Index,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF,out:PMV
5,45,40,1.6,7.6,0.9,0.3,0.0,35,1.6,5.9,1.0,0.3,0.0,0,-70,1.2,0.2,9,0.1,0.3,0.85,0.05,0.05,1.0,82.202,1.0,0.854938,66.795154,30.955581,3,-999
10,35,34,2.2,4.3,0.8,3.4,0.2,10,0.8,3.4,2.0,0.7,2.1,0,-40,1.4,0.0,5,0.02,0.9,1.05,0.0,0.0,0.549383,80.761,0.549383,1.0,77.463457,20.675604,1,-999
12,65,58,2.3,7.6,0.7,0.2,0.1,10,0.8,3.4,2.0,1.9,0.9,0,-80,0.8,0.1,9,0.1,0.8,0.85,0.05,0.0,0.987654,80.933,0.987654,0.92284,76.801574,22.88995,7,-999
25,70,38,2.5,7.6,0.5,0.1,0.2,15,1.1,3.7,0.9,1.9,0.6,0,-40,1.5,0.4,6,0.7,0.5,0.82,0.55,0.15,1.0,82.647,1.0,0.941358,77.078889,34.042865,8,-999
33,55,34,1.9,7.8,0.9,0.1,0.0,40,1.8,6.0,0.9,0.0,0.2,0,-80,1.0,0.1,4,1.0,1.0,1.6,0.0,0.15,1.0,83.162,1.0,0.87037,70.061852,24.765524,5,-999
35,40,40,2.6,4.2,0.4,0.9,2.8,20,0.9,6.0,0.8,0.1,0.1,0,-80,0.5,0.1,5,0.02,0.1,1.03,0.0,0.0,1.0,82.339,1.0,0.833333,70.7375,41.412801,2,-999
43,50,47,2.2,6.1,0.8,0.2,1.6,30,1.4,5.8,0.8,0.0,0.4,0,-80,1.1,0.3,4,0.1,0.1,1.93,0.05,0.05,1.0,84.156,1.0,0.765432,58.578549,39.057547,4,-999
65,30,30,1.2,6.8,0.8,0.0,1.1,10,0.7,3.9,2.0,1.3,1.0,0,-80,1.2,0.4,8,0.1,1.0,0.95,0.0,0.0,0.388889,80.898,0.388889,0.981481,77.692747,18.440281,0,-999
69,30,29,2.0,4.0,0.9,3.0,0.9,30,1.4,5.8,0.8,0.3,0.1,0,-60,1.6,0.5,5,0.1,0.2,0.98,0.0,0.0,1.0,82.133,1.0,0.848765,71.000432,32.918164,0,-999
81,50,31,2.6,5.2,0.4,2.0,0.7,15,0.7,5.8,2.0,0.3,0.1,0,-80,1.2,0.8,5,0.5,0.1,0.8,0.2,0.2,0.959877,81.276,0.959877,0.938272,77.863086,36.236378,4,-999
83,70,70,2.6,7.3,0.4,0.0,0.6,40,1.8,6.0,1.0,0.0,0.2,0,-80,0.5,0.1,2,0.02,0.1,7.28,0.0,0.0,1.0,85.528,1.0,0.651235,40.387963,38.153574,8,-999
87,65,58,2.3,7.6,0.7,0.0,0.3,25,1.1,6.1,1.0,0.1,0.0,0,-60,0.9,0.0,9,0.1,0.2,0.85,0.05,0.05,1.0,82.545,1.0,0.780864,58.797407,38.274005,7,-999
96,40,36,2.5,4.3,0.5,0.6,3.0,10,0.8,3.4,2.0,1.2,1.6,0,-80,1.1,0.6,5,0.1,0.3,0.97,0.05,0.05,0.907407,81.207,0.907407,0.947531,77.18071,35.776656,2,-999
97,60,43,2.3,7.0,0.7,0.0,0.9,10,0.6,4.5,2.0,1.2,0.5,0,-50,1.7,0.6,3,1.0,0.1,2.5,0.4,0.4,1.0,82.956,1.0,0.916667,74.89321,38.611917,6,-999
99,45,40,2.2,5.5,0.8,1.7,0.7,40,1.8,6.0,1.0,0.1,0.1,0,-60,1.3,0.4,4,0.2,0.1,1.63,0.0,0.2,1.0,84.019,1.0,0.824074,60.863858,32.892348,3,-999
118,40,33,2.0,5.4,0.8,0.6,1.9,25,2.0,3.4,0.9,0.8,2.0,0,-60,1.1,0.2,6,0.2,0.8,0.88,0.1,0.1,0.987654,82.099,0.987654,0.941358,76.63963,22.96766,2,-999
120,65,35,2.3,7.6,0.7,0.0,0.3,10,0.8,3.4,2.0,1.2,1.6,0,-80,0.8,0.1,6,0.7,0.2,0.82,0.05,0.6,0.944444,82.476,0.944444,0.92284,77.722747,39.753409,7,-999
126,40,37,2.6,4.2,0.4,0.9,2.8,10,0.7,3.9,2.0,1.9,0.4,0,-80,1.1,0.7,5,0.1,0.2,0.95,0.05,0.05,0.941358,81.344,0.941358,0.941358,77.09642,38.597116,2,-999
127,60,37,2.6,6.2,0.4,1.2,0.5,10,0.6,4.5,2.0,0.5,1.2,0,-50,0.7,0.1,3,1.2,0.3,1.9,0.4,0.0,0.953704,82.51,0.953704,0.944444,77.572623,38.010165,6,-999
128,30,29,2.0,4.0,1.0,0.0,3.9,40,2.0,5.4,1.0,0.3,0.5,0,-80,1.1,0.1,5,0.1,1.0,0.98,0.0,0.0,1.0,81.962,1.0,0.950617,75.213642,18.695286,0,-999
141,30,29,2.0,4.0,1.0,0.0,3.9,40,2.0,5.4,1.0,0.3,0.5,0,-80,1.1,0.1,5,0.1,1.0,0.98,0.0,0.0,1.0,81.962,1.0,0.941358,75.224167,18.695286,0,-999
142,30,29,2.0,4.0,1.0,0.1,3.8,40,1.9,5.7,0.9,0.0,0.5,0,-70,1.2,0.1,5,0.1,1.0,0.98,0.0,0.0,1.0,81.996,1.0,0.91358,73.746574,20.101904,0,-999
143,40,33,2.6,4.2,0.4,0.0,3.7,40,2.0,5.4,1.0,0.8,0.0,0,-80,0.5,0.1,5,0.2,1.0,0.85,0.1,0.1,1.0,81.996,1.0,0.925926,73.877407,19.3852,2,-999
145,70,48,2.5,7.6,0.5,0.1,0.2,10,0.8,3.4,2.0,1.5,1.3,0,-80,0.5,0.0,7,0.4,0.4,0.87,0.2,0.2,1.0,82.956,1.0,0.916667,75.210154,37.242678,8,-999
150,60,49,2.1,7.7,0.9,0.2,0.0,35,1.6,5.9,0.9,0.2,0.1,0,-40,1.6,0.1,8,0.2,0.7,0.9,0.1,0.1,1.0,82.956,1.0,0.910494,65.858457,25.743555,6,-999
