Folder,Target,Model,R²,RMSE
0304_1500_South0°_Frame(1),EUI,XGBoost,0.989562,0.134788
0304_1500_South0°_Frame(1),EUI,LightGBM,0.992703,0.112694
0304_1500_South0°_Frame(1),EUI,RandomForest,0.970727,0.225722
0304_1500_South0°_Frame(1),EUI,Stacking,0.993762,0.104201
0304_1500_South0°_Frame(1),sDA,XGBoost,0.974666,0.010741
0304_1500_South0°_Frame(1),sDA,LightGBM,0.97059,0.011573
0304_1500_South0°_Frame(1),sDA,RandomForest,0.957238,0.013955
0304_1500_South0°_Frame(1),sDA,Stacking,0.978254,0.009951
0304_1500_South0°_Frame(1),sGA,XGBoost,0.987834,0.022953
0304_1500_South0°_Frame(1),sGA,LightGBM,0.988645,0.022175
0304_1500_South0°_Frame(1),sGA,RandomForest,0.972509,0.034503
0304_1500_South0°_Frame(1),sGA,Stacking,0.990096,0.02071
0304_1500_South0°_Frame(1),UDI,XGBoost,0.99438,0.824598
0304_1500_South0°_Frame(1),UDI,LightGBM,0.994403,0.822893
0304_1500_South0°_Frame(1),UDI,RandomForest,0.982049,1.473757
0304_1500_South0°_Frame(1),UDI,Stacking,0.995614,0.728445
0304_1500_South0°_Frame(1),SVF,XGBoost,0.992216,0.567923
0304_1500_South0°_Frame(1),SVF,LightGBM,0.994464,0.478948
0304_1500_South0°_Frame(1),SVF,RandomForest,0.968196,1.147983
0304_1500_South0°_Frame(1),SVF,Stacking,0.996013,0.406453
0304_2000_South0°_Overhang(1),EUI,XGBoost,0.992466,0.190412
0304_2000_South0°_Overhang(1),EUI,LightGBM,0.993688,0.174285
0304_2000_South0°_Overhang(1),EUI,RandomForest,0.978869,0.318879
0304_2000_South0°_Overhang(1),EUI,Stacking,0.994514,0.162485
0304_2000_South0°_Overhang(1),sDA,XGBoost,0.910039,0.040358
0304_2000_South0°_Overhang(1),sDA,LightGBM,0.870554,0.048411
0304_2000_South0°_Overhang(1),sDA,RandomForest,0.887721,0.045086
0304_2000_South0°_Overhang(1),sDA,Stacking,0.913857,0.039492
0304_2000_South0°_Overhang(1),sGA,XGBoost,0.981914,0.033677
0304_2000_South0°_Overhang(1),sGA,LightGBM,0.98587,0.029767
0304_2000_South0°_Overhang(1),sGA,RandomForest,0.975674,0.039057
0304_2000_South0°_Overhang(1),sGA,Stacking,0.987523,0.027972
0304_2000_South0°_Overhang(1),UDI,XGBoost,0.988492,1.360947
0304_2000_South0°_Overhang(1),UDI,LightGBM,0.986818,1.456557
0304_2000_South0°_Overhang(1),UDI,RandomForest,0.974508,2.025577
0304_2000_South0°_Overhang(1),UDI,Stacking,0.991348,1.180089
0304_2000_South0°_Overhang(1),SVF,XGBoost,0.976432,1.307752
0304_2000_South0°_Overhang(1),SVF,LightGBM,0.985271,1.033819
0304_2000_South0°_Overhang(1),SVF,RandomForest,0.969636,1.484366
0304_2000_South0°_Overhang(1),SVF,Stacking,0.985052,1.041495
0304_800_South0°(1),EUI,XGBoost,0.999665,0.027073
0304_800_South0°(1),EUI,LightGBM,0.999625,0.028656
0304_800_South0°(1),EUI,RandomForest,0.99808,0.064849
0304_800_South0°(1),EUI,Stacking,0.999725,0.024554
0304_800_South0°(1),sDA,XGBoost,0.773214,0.003695
0304_800_South0°(1),sDA,LightGBM,0.791792,0.00354
0304_800_South0°(1),sDA,RandomForest,0.681673,0.004377
